PERSON_ID;FIRST_NAME;LAST_NAME;DISPLAY_FIRST_LAST;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;PLAYER_SLUG;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;GAMES_PLAYED_CURRENT_SEASON_FLAG;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;NBA_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER;GREATEST_75_FLAG;clean_name;Salary
1630175;Cole;Anthony;Cole Anthony;Anthony, Cole;C. Anthony;cole-anthony;2000-05-15T00:00:00;North Carolina;USA;North Carolina/USA;06. Feb;185.0;4;50.0;Guard;Active;Y;1610612763;Grizzlies;MEM;grizzlies;Memphis;cole_anthony;2020;2024;N;Y;Y;2020;1;15;N;coleanthony;5539771.0
1628384;OG;Anunoby;OG Anunoby;Anunoby, OG;O. Anunoby;og-anunoby;1997-07-17T00:00:00;Indiana;United Kingdom;Indiana/United Kingdom;06. Jul;240.0;7;8.0;Forward-Guard;Active;Y;1610612752;Knicks;NYK;knicks;New York;og_anunoby;2017;2024;N;Y;Y;2017;1;23;N;oganunoby;18642857.0
1642379;Taran;Armstrong;Taran Armstrong;Armstrong, Taran;T. Armstrong;taran-armstrong;2002-01-15T00:00:00;Cairns, Australia;Australia;Cairns, Australia/Australia;06. Mai;190.0;0;1.0;Guard;Active;N;1610612744;Warriors;GSW;warriors;Golden State;tmp_taran_armstrong;2024;2024;Y;N;N;Undrafted;Undrafted;Undrafted;N;taranarmstrong;
1630166;Deni;Avdija;Deni Avdija;Avdija, Deni;D. Avdija;deni-avdija;2001-01-03T00:00:00;Maccabi Tel Aviv;Israel;Maccabi Tel Aviv/Israel;06. Sep;240.0;4;8.0;Forward;Active;Y;1610612757;Trail Blazers;POR;blazers;Portland;deni_avdija;2020;2024;N;Y;Y;2020;1;9;N;deniavdija;6263188.0
1629028;Deandre;Ayton;Deandre Ayton;Ayton, Deandre;D. Ayton;deandre-ayton;1998-07-23T00:00:00;Arizona;Bahamas;Arizona/Bahamas;7-0;252.0;6;2.0;Center;Active;Y;1610612757;Trail Blazers;POR;blazers;Portland;deandre_ayton;2018;2024;N;Y;Y;2018;1;1;N;deandreayton;32459438.0
1630542;Marcus;Bagley;Marcus Bagley;Bagley, Marcus;M. Bagley;marcus-bagley;2001-10-23T00:00:00;Arizona State;USA;Arizona State/USA;06. Jun;217.0;0;;Forward;Inactive;Y;0;;;;;marcus_bagley;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;marcusbagley;
1628963;Marvin;Bagley III;Marvin Bagley III;Bagley III, Marvin;M. Bagley III;marvin-bagley-iii;1999-03-14T00:00:00;Duke;USA;Duke/USA;06. Okt;235.0;6;35.0;Forward;Active;Y;1610612763;Grizzlies;MEM;grizzlies;Memphis;marvin_bagley_iii;2018;2024;N;Y;Y;2018;1;2;N;marvinbagleyiii;12500000.0
1631116;Patrick;Baldwin Jr.;Patrick Baldwin Jr.;Baldwin Jr., Patrick;P. Baldwin Jr.;patrick-baldwin-jr;2002-11-18T00:00:00;Wisconsin-Milwaukee;USA;Wisconsin-Milwaukee/USA;06. Sep;220.0;2;23.0;Forward;Active;Y;1610612746;Clippers;LAC;clippers;LA;patrick_baldwin_jr;2022;2024;Y;Y;Y;2022;1;28;N;patrickbaldwinjr.;2337720.0
1630163;LaMelo;Ball;LaMelo Ball;Ball, LaMelo;L. Ball;lamelo-ball;2001-08-22T00:00:00;Illawarra;USA;Illawarra/USA;06. Jul;180.0;4;1.0;Guard;Active;Y;1610612766;Hornets;CHA;hornets;Charlotte;lamelo_ball;2020;2024;N;Y;Y;2020;1;3;N;lameloball;10900635.0
1628366;Lonzo;Ball;Lonzo Ball;Ball, Lonzo;L. Ball;lonzo-ball;1997-10-27T00:00:00;UCLA;USA;UCLA/USA;06. Jun;190.0;5;2.0;Guard;Active;Y;1610612741;Bulls;CHI;bulls;Chicago;lonzo_ball;2017;2024;N;Y;Y;2017;1;2;N;lonzoball;20465117.0
1628964;Mo;Bamba;Mo Bamba;Bamba, Mo;M. Bamba;mo-bamba;1998-05-12T00:00:00;Texas;USA;Texas/USA;7-0;231.0;6;;Center;Inactive;Y;0;;;;;mohamed_bamba;2018;2024;Y;Y;Y;2018;1;6;N;mobamba;2019706.0
1631094;Paolo;Banchero;Paolo Banchero;Banchero, Paolo;P. Banchero;paolo-banchero;2002-11-12T00:00:00;Duke;USA;Duke/USA;06. Okt;250.0;2;5.0;Forward;Active;Y;1610612753;Magic;ORL;magic;Orlando;paolo_banchero;2022;2024;N;Y;Y;2022;1;1;N;paolobanchero;11608080.0
1630217;Desmond;Bane;Desmond Bane;Bane, Desmond;D. Bane;desmond-bane;1998-06-25T00:00:00;TCU;USA;TCU/USA;06. Mai;215.0;4;3.0;Guard;Active;Y;1610612753;Magic;ORL;magic;Orlando;desmond_bane;2020;2024;N;Y;Y;2020;1;30;N;desmondbane;3845083.0
1630625;Dalano;Banton;Dalano Banton;Banton, Dalano;D. Banton;dalano-banton;1999-11-07T00:00:00;Nebraska;Canada;Nebraska/Canada;06. Aug;203.0;3;5.0;Forward;Active;Y;1610612757;Trail Blazers;POR;blazers;Portland;dalano_banton;2021;2024;Y;Y;Y;2021;2;46;N;dalanobanton;2019706.0
1631230;Dominick;Barlow;Dominick Barlow;Barlow, Dominick;D. Barlow;dominick-barlow;2003-05-26T00:00:00;Overtime Elite;USA;Overtime Elite/USA;06. Aug;215.0;2;26.0;Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;dominick_barlow;2022;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;dominickbarlow;455620.0
203084;Harrison;Barnes;Harrison Barnes;Barnes, Harrison;H. Barnes;harrison-barnes;1992-05-30T00:00:00;North Carolina;USA;North Carolina/USA;06. Aug;225.0;12;40.0;Forward;Active;Y;1610612759;Spurs;SAS;spurs;San Antonio;harrison_barnes;2012;2024;N;Y;Y;2012;1;7;N;harrisonbarnes;17000000.0
1630567;Scottie;Barnes;Scottie Barnes;Barnes, Scottie;S. Barnes;scottie-barnes;2001-08-01T00:00:00;Florida State;USA;Florida State/USA;06. Jul;237.0;3;4.0;Forward-Guard;Active;Y;1610612761;Raptors;TOR;raptors;Toronto;scottie_barnes;2021;2024;N;Y;Y;2021;1;4;N;scottiebarnes;8008560.0
1629628;RJ;Barrett;RJ Barrett;Barrett, RJ;R. Barrett;rj-barrett;2000-06-14T00:00:00;Duke;Canada;Duke/Canada;06. Jun;214.0;5;9.0;Forward-Guard;Active;Y;1610612761;Raptors;TOR;raptors;Toronto;rj_barrett;2019;2024;N;Y;Y;2019;1;3;N;rjbarrett;23883929.0
1629646;Charles;Bassey;Charles Bassey;Bassey, Charles;C. Bassey;charles-bassey;2000-10-28T00:00:00;Western Kentucky;Nigeria;Western Kentucky/Nigeria;06. Okt;230.0;3;28.0;Center-Forward;Active;Y;1610612759;Spurs;SAS;spurs;San Antonio;charles_bassey;2021;2024;Y;Y;Y;2021;2;53;N;charlesbassey;2600000.0
1641734;Emoni;Bates;Emoni Bates;Bates, Emoni;E. Bates;emoni-bates;2004-01-28T00:00:00;Eastern Michigan;USA;Eastern Michigan/USA;06. Aug;202.0;1;21.0;Forward;Active;Y;1610612739;Cavaliers;CLE;cavaliers;Cleveland;emoni_bates;2023;2024;Y;Y;Y;2023;2;49;N;emonibates;
1642419;Jamison;Battle;Jamison Battle;Battle, Jamison;J. Battle;jamison-battle;2001-05-10T00:00:00;Ohio State;USA;Ohio State/USA;06. Jul;220.0;0;77.0;Forward;Active;Y;1610612761;Raptors;TOR;raptors;Toronto;jamison_battle;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;jamisonbattle;
201587;Nicolas;Batum;Nicolas Batum;Batum, Nicolas;N. Batum;nicolas-batum;1988-12-14T00:00:00;Le Mans;France;Le Mans/France;06. Aug;230.0;16;33.0;Guard-Forward;Active;Y;1610612746;Clippers;LAC;clippers;LA;nicolas_batum;2008;2024;N;Y;Y;2008;1;25;N;nicolasbatum;11710818.0
1641878;Damion;Baugh;Damion Baugh;Baugh, Damion;D. Baugh;damion-baugh;2000-08-03T00:00:00;TCU;USA;TCU/USA;06. Apr;194.0;0;7.0;Guard;Active;Y;1610612766;Hornets;CHA;hornets;Charlotte;damion_baugh;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;damionbaugh;
203078;Bradley;Beal;Bradley Beal;Beal, Bradley;B. Beal;bradley-beal;1993-06-28T00:00:00;Florida;USA;Florida/USA;06. Apr;207.0;12;3.0;Guard;Active;Y;1610612756;Suns;PHX;suns;Phoenix;bradley_beal;2012;2024;N;Y;Y;2012;1;3;N;bradleybeal;46741590.0
1627736;Malik;Beasley;Malik Beasley;Beasley, Malik;M. Beasley;malik-beasley;1996-11-26T00:00:00;Florida State;USA;Florida State/USA;06. Apr;187.0;8;5.0;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;malik_beasley;2016;2024;Y;Y;Y;2016;1;19;N;malikbeasley;2019760.0
1630699;MarJon;Beauchamp;MarJon Beauchamp;Beauchamp, MarJon;M. Beauchamp;marjon-beauchamp;2000-10-12T00:00:00;NBA G League Ignite;USA;NBA G League Ignite/USA;06. Jul;199.0;2;0.0;Forward;Active;Y;1610612752;Knicks;NYK;knicks;New York;marjon_beauchamp;2021;2024;Y;Y;Y;2022;1;24;N;marjonbeauchamp;2609400.0
1641736;Reece;Beekman;Reece Beekman;Beekman, Reece;R. Beekman;reece-beekman;2001-10-08T00:00:00;Virginia;USA;Virginia/USA;06. Mrz;190.0;0;4.0;Guard;Active;Y;1610612751;Nets;BKN;nets;Brooklyn;reece_beekman;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;reecebeekman;
1630180;Saddiq;Bey;Saddiq Bey;Bey, Saddiq;S. Bey;saddiq-bey;1999-04-09T00:00:00;Villanova;USA;Villanova/USA;06. Jul;215.0;4;14.0;Guard-Forward;Active;N;1610612764;Wizards;WAS;wizards;Washington;saddiq_bey;2020;2024;N;Y;Y;2020;1;19;N;saddiqbey;4556983.0
1629048;Goga;Bitadze;Goga Bitadze;Bitadze, Goga;G. Bitadze;goga-bitadze;1999-07-20T00:00:00;Mega Basket;Georgia;Mega Basket/Georgia;06. Okt;250.0;5;35.0;Center-Forward;Active;Y;1610612753;Magic;ORL;magic;Orlando;goga_bitadze;2019;2024;Y;Y;Y;2019;1;18;N;gogabitadze;2062585.0
202687;Bismack;Biyombo;Bismack Biyombo;Biyombo, Bismack;B. Biyombo;bismack-biyombo;1992-08-28T00:00:00;Baloncesto Fuenlabrada;DRC;Baloncesto Fuenlabrada/DRC;06. Aug;255.0;13;15.0;Center;Active;Y;1610612759;Spurs;SAS;spurs;San Antonio;bismack_biyombo;2011;2024;N;Y;Y;2011;1;7;N;bismackbiyombo;754488.0
1641710;Anthony;Black;Anthony Black;Black, Anthony;A. Black;anthony-black;2004-01-20T00:00:00;Arkansas;USA;Arkansas/USA;06. Jul;200.0;1;0.0;Guard;Active;Y;1610612753;Magic;ORL;magic;Orlando;anthony_black;2023;2024;N;Y;Y;2023;1;6;N;anthonyblack;7245480.0
203992;Bogdan;Bogdanović;Bogdan Bogdanović;Bogdanović, Bogdan;B. Bogdanović;bogdan-bogdanović;1992-08-18T00:00:00;Fenerbahce;Serbia;Fenerbahce/Serbia;06. Mai;225.0;7;10.0;Guard;Active;Y;1610612746;Clippers;LAC;clippers;LA;bogdan_bogdanovic;2017;2024;N;Y;Y;2014;1;27;N;bogdanbogdanović;17260000.0
1629626;Bol;Bol;Bol Bol;Bol, Bol;B. Bol;bol-bol;1999-11-16T00:00:00;Oregon;Sudan;Oregon/Sudan;07. Mrz;220.0;5;11.0;Center-Forward;Active;Y;1610612756;Suns;PHX;suns;Phoenix;bol_bol;2019;2024;Y;Y;Y;2019;2;44;N;bolbol;2019706.0
1641737;Adem;Bona;Adem Bona;Bona, Adem;A. Bona;adem-bona;2003-03-28T00:00:00;UCLA;Nigeria;UCLA/Nigeria;06. Okt;235.0;0;30.0;Forward;Active;Y;1610612755;76ers;PHI;sixers;Philadelphia;adem_bona;2024;2024;Y;Y;Y;2024;2;41;N;adembona;
1626164;Devin;Booker;Devin Booker;Booker, Devin;D. Booker;devin-booker;1996-10-30T00:00:00;Kentucky;USA;Kentucky/USA;06. Jun;206.0;9;1.0;Guard;Active;Y;1610612756;Suns;PHX;suns;Phoenix;devin_booker;2015;2024;N;Y;Y;2015;1;13;N;devinbooker;36016200.0
1630527;Brandon;Boston;Brandon Boston;Boston, Brandon;B. Boston;brandon-boston;2001-11-28T00:00:00;Kentucky;USA;Kentucky/USA;06. Jun;188.0;3;11.0;Guard;Active;Y;1610612740;Pelicans;NOP;pelicans;New Orleans;brandon_boston_jr;2021;2024;Y;Y;Y;2021;2;51;N;brandonboston;1836096.0
1628449;Chris;Boucher;Chris Boucher;Boucher, Chris;C. Boucher;chris-boucher;1993-01-11T00:00:00;Oregon;Saint Lucia;Oregon/Saint Lucia;06. Sep;200.0;7;25.0;Forward;Active;Y;1610612761;Raptors;TOR;raptors;Toronto;chris_boucher;2017;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;chrisboucher;11750000.0
1631123;Jamaree;Bouyea;Jamaree Bouyea;Bouyea, Jamaree;J. Bouyea;jamaree-bouyea;1999-06-27T00:00:00;San Francisco;USA;San Francisco/USA;06. Feb;180.0;2;15.0;Guard;Active;Y;1610612749;Bucks;MIL;bucks;Milwaukee;jamaree_bouyea;2022;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;jamareebouyea;
1628396;Tony;Bradley;Tony Bradley;Bradley, Tony;T. Bradley;tony-bradley;1998-01-08T00:00:00;North Carolina;USA;North Carolina/USA;06. Nov;248.0;6;13.0;Center-Forward;Active;Y;1610612754;Pacers;IND;pacers;Indiana;tony_bradley;2017;2024;Y;Y;Y;2017;1;28;N;tonybradley;
1631103;Malaki;Branham;Malaki Branham;Branham, Malaki;M. Branham;malaki-branham;2003-05-12T00:00:00;Ohio State;USA;Ohio State/USA;06. Apr;180.0;2;22.0;Forward;Active;Y;1610612759;Spurs;SAS;spurs;San Antonio;malaki_branham;2022;2024;Y;Y;Y;2022;1;20;N;malakibranham;3071880.0
1631128;Christian;Braun;Christian Braun;Braun, Christian;C. Braun;christian-braun;2001-04-17T00:00:00;Kansas;USA;Kansas/USA;06. Jun;220.0;2;0.0;Guard;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;christian_braun;2022;2024;N;Y;Y;2022;1;21;N;christianbraun;2949120.0
1641779;Jalen;Bridges;Jalen Bridges;Bridges, Jalen;J. Bridges;jalen-bridges;2001-05-14T00:00:00;Baylor;USA;Baylor/USA;06. Aug;225.0;0;15.0;Forward;Active;Y;1610612756;Suns;PHX;suns;Phoenix;jalen_bridges;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;jalenbridges;
1628969;Mikal;Bridges;Mikal Bridges;Bridges, Mikal;M. Bridges;mikal-bridges;1996-08-30T00:00:00;Villanova;USA;Villanova/USA;06. Jun;209.0;6;25.0;Guard-Forward;Active;Y;1610612752;Knicks;NYK;knicks;New York;mikal_bridges;2018;2024;N;Y;Y;2018;1;10;N;mikalbridges;21700000.0
1628970;Miles;Bridges;Miles Bridges;Bridges, Miles;M. Bridges;miles-bridges;1998-03-21T00:00:00;Michigan State;USA;Michigan State/USA;06. Jul;225.0;5;0.0;Forward;Active;Y;1610612766;Hornets;CHA;hornets;Charlotte;miles_bridges;2018;2024;N;Y;Y;2018;1;12;N;milesbridges;7921301.0
1629052;Oshae;Brissett;Oshae Brissett;Brissett, Oshae;O. Brissett;oshae-brissett;1998-06-20T00:00:00;Syracuse;Canada;Syracuse/Canada;06. Jul;210.0;5;;Forward-Guard;Inactive;Y;0;;;;;oshae_brissett;2019;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;oshaebrissett;2165000.0
1627763;Malcolm;Brogdon;Malcolm Brogdon;Brogdon, Malcolm;M. Brogdon;malcolm-brogdon;1992-12-11T00:00:00;Virginia;USA;Virginia/USA;06. Apr;229.0;8;15.0;Guard;Active;Y;1610612764;Wizards;WAS;wizards;Washington;malcolm_brogdon;2016;2024;N;Y;Y;2016;2;36;N;malcolmbrogdon;22500000.0
1628415;Dillon;Brooks;Dillon Brooks;Brooks, Dillon;D. Brooks;dillon-brooks;1996-01-22T00:00:00;Oregon;Canada;Oregon/Canada;06. Jun;225.0;7;9.0;Guard-Forward;Active;Y;1610612745;Rockets;HOU;rockets;Houston;dillon_brooks;2017;2024;N;Y;Y;2017;2;45;N;dillonbrooks;22627671.0
1631232;Keion;Brooks Jr.;Keion Brooks Jr.;Brooks Jr., Keion;K. Brooks Jr.;keion-brooks-jr;2000-08-07T00:00:00;Washington;USA;Washington/USA;06. Jul;210.0;0;;Forward;Active;Y;1610612740;Pelicans;NOP;pelicans;New Orleans;keion_brooks_jr;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;keionbrooksjr.;
1628971;Bruce;Brown;Bruce Brown;Brown, Bruce;B. Brown;bruce-brown;1996-08-15T00:00:00;Miami;USA;Miami/USA;06. Apr;202.0;6;0.0;Guard-Forward;Active;Y;1610612740;Pelicans;NOP;pelicans;New Orleans;bruce_brown;2018;2024;Y;Y;Y;2018;2;42;N;brucebrown;22000000.0
1627759;Jaylen;Brown;Jaylen Brown;Brown, Jaylen;J. Brown;jaylen-brown;1996-10-24T00:00:00;California;USA;California/USA;06. Jun;223.0;8;7.0;Guard-Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jaylen_brown;2016;2024;N;Y;Y;2016;1;3;N;jaylenbrown;31830357.0
1641738;Kobe;Brown;Kobe Brown;Brown, Kobe;K. Brown;kobe-brown;2000-01-01T00:00:00;Missouri;USA;Missouri/USA;06. Jul;250.0;1;21.0;Forward;Active;Y;1610612746;Clippers;LAC;clippers;LA;kobe_brown;2023;2024;Y;Y;Y;2023;1;30;N;kobebrown;2413320.0
1629650;Moses;Brown;Moses Brown;Brown, Moses;M. Brown;moses-brown;1999-10-13T00:00:00;UCLA;USA;UCLA/USA;07. Feb;258.0;5;;Center;Inactive;Y;0;;;;;moses_brown;2019;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;mosesbrown;2019706.0
1628973;Jalen;Brunson;Jalen Brunson;Brunson, Jalen;J. Brunson;jalen-brunson;1996-08-31T00:00:00;Villanova;USA;Villanova/USA;06. Feb;190.0;6;11.0;Guard;Active;Y;1610612752;Knicks;NYK;knicks;New York;jalen_brunson;2018;2024;N;Y;Y;2018;2;33;N;jalenbrunson;26346666.0
1628418;Thomas;Bryant;Thomas Bryant;Bryant, Thomas;T. Bryant;thomas-bryant;1997-07-31T00:00:00;Indiana;USA;Indiana/USA;06. Okt;248.0;7;3.0;Center-Forward;Active;Y;1610612754;Pacers;IND;pacers;Indiana;thomas_bryant;2017;2024;Y;Y;Y;2017;2;42;N;thomasbryant;2528233.0
1641723;Kobe;Bufkin;Kobe Bufkin;Bufkin, Kobe;K. Bufkin;kobe-bufkin;2003-09-21T00:00:00;Michigan;USA;Michigan/USA;06. Apr;195.0;1;4.0;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;kobe_bufkin;2023;2024;Y;Y;Y;2023;1;15;N;kobebufkin;4094280.0
202692;Alec;Burks;Alec Burks;Burks, Alec;A. Burks;alec-burks;1991-07-20T00:00:00;Colorado;USA;Colorado/USA;06. Mai;214.0;13;18.0;Guard;Active;Y;1610612748;Heat;MIA;heat;Miami;alec_burks;2011;2024;Y;Y;Y;2011;1;12;N;alecburks;10489600.0
1630215;Jared;Butler;Jared Butler;Butler, Jared;J. Butler;jared-butler;2000-08-25T00:00:00;Baylor;USA;Baylor/USA;06. Mrz;193.0;3;12.0;Guard;Active;Y;1610612755;76ers;PHI;sixers;Philadelphia;jared_butler;2021;2024;Y;Y;Y;2021;2;40;N;jaredbutler;
202710;Jimmy;Butler III;Jimmy Butler III;Butler III, Jimmy;J. Butler III;jimmy-butler-iii;1989-09-14T00:00:00;Marquette;USA;Marquette/USA;06. Jul;230.0;13;10.0;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;jimmy_butler;2011;2024;N;Y;Y;2011;1;30;N;jimmybutleriii;45183960.0
1641824;Matas;Buzelis;Matas Buzelis;Buzelis, Matas;M. Buzelis;matas-buzelis;2004-10-13T00:00:00;NBA G League Ignite;USA;NBA G League Ignite/USA;06. Okt;209.0;0;14.0;Forward;Active;Y;1610612741;Bulls;CHI;bulls;Chicago;matas_buzelis;2023;2024;Y;Y;Y;2024;1;11;N;matasbuzelis;
1631288;Jamal;Cain;Jamal Cain;Cain, Jamal;J. Cain;jamal-cain;1999-03-20T00:00:00;Oakland;USA;Oakland/USA;06. Jun;191.0;2;8.0;Forward;Active;Y;1610612740;Pelicans;NOP;pelicans;New Orleans;jamal_cain;2022;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;jamalcain;
203484;Kentavious;Caldwell-Pope;Kentavious Caldwell-Pope;Caldwell-Pope, Kentavious;K. Caldwell-Pope;kentavious-caldwell-pope;1993-02-18T00:00:00;Georgia;USA;Georgia/USA;06. Mai;204.0;11;3.0;Guard;Active;Y;1610612763;Grizzlies;MEM;grizzlies;Memphis;kentavious_caldwell-pope;2013;2024;N;Y;Y;2013;1;8;N;kentaviouscaldwell-pope;14704938.0
1641739;Toumani;Camara;Toumani Camara;Camara, Toumani;T. Camara;toumani-camara;2000-05-08T00:00:00;Dayton;Belgium;Dayton/Belgium;06. Jul;229.0;1;33.0;Forward;Active;Y;1610612757;Trail Blazers;POR;blazers;Portland;toumani_camara;2023;2024;N;Y;Y;2023;2;52;N;toumanicamara;1119563.0
203991;Clint;Capela;Clint Capela;Capela, Clint;C. Capela;clint-capela;1994-05-18T00:00:00;Elan Chalon;Switzerland;Elan Chalon/Switzerland;06. Okt;256.0;10;15.0;Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;clint_capela;2014;2024;Y;Y;Y;2014;1;25;N;clintcapela;20616000.0
1642382;Branden;Carlson;Branden Carlson;Carlson, Branden;B. Carlson;branden-carlson;1999-06-14T00:00:00;Utah;USA;Utah/USA;7-0;220.0;0;15.0;Center;Active;Y;1610612760;Thunder;OKC;thunder;Oklahoma City;branden_carlson;2024;2024;Y;Y;Y;Undrafted;Undrafted;Undrafted;N;brandencarlson;
